Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.6145195960998535	0	25.7948717949	14.6763013002	71.0	11.0	25.7948717949	14.6763013002	1006	1006
0.871509313583374	1	34.1333333333	21.4782577402	95.0	8.0	34.1333333333	21.4782577402	1024	2030
1.1136372089385986	2	25.275	16.0187195181	92.0	10.0	25.275	16.0187195181	1011	3041
1.3592298030853271	3	31.4375	18.6144055438	94.0	10.0	31.4375	18.6144055438	1006	4047
1.6118252277374268	4	40.68	29.0044410393	111.0	9.0	40.68	29.0044410393	1017	5064
1.8607518672943115	5	45.6363636364	31.7268819981	137.0	14.0	45.6363636364	31.7268819981	1004	6068
2.106843948364258	6	39.3076923077	23.2821642378	100.0	14.0	39.3076923077	23.2821642378	1022	7090
2.3544209003448486	7	50.9	25.655213895	108.0	13.0	50.9	25.655213895	1018	8108
2.6010167598724365	8	46.3636363636	30.5756074117	150.0	16.0	46.3636363636	30.5756074117	1020	9128
2.861737012863159	9	47.7272727273	36.8463416442	148.0	14.0	47.7272727273	36.8463416442	1050	10178
3.1123461723327637	10	49.619047619	24.5598902403	118.0	11.0	49.619047619	24.5598902403	1042	11220
3.356755495071411	11	50.4	27.4014598151	143.0	23.0	50.4	27.4014598151	1008	12228
3.6073498725891113	12	51.7	28.2791442586	121.0	14.0	51.7	28.2791442586	1034	13262
3.8574438095092773	13	55.7222222222	32.9035721728	133.0	20.0	55.7222222222	32.9035721728	1003	14265
4.116260528564453	14	93.1818181818	34.440510454	148.0	36.0	93.1818181818	34.440510454	1025	15290
4.3659889698028564	15	47.3181818182	19.596814128	83.0	14.0	47.3181818182	19.596814128	1041	16331
4.651096820831299	16	66.8235294118	43.9642037466	171.0	19.0	66.8235294118	43.9642037466	1136	17467
4.905691862106323	17	64.6875	27.5084504062	115.0	24.0	64.6875	27.5084504062	1035	18502
5.165289640426636	18	74.1428571429	38.5001987803	141.0	27.0	74.1428571429	38.5001987803	1038	19540
5.4198853969573975	19	68.1333333333	33.3783695761	113.0	12.0	68.1333333333	33.3783695761	1022	20562
5.705508470535278	20	75.0714285714	38.6106282291	139.0	32.0	75.0714285714	38.6106282291	1051	21613
5.981112241744995	21	90.1666666667	39.6186684391	153.0	35.0	90.1666666667	39.6186684391	1082	22695
6.249713182449341	22	66.6875	29.8448461841	122.0	25.0	66.6875	29.8448461841	1067	23762
6.50853419303894	23	73.7142857143	34.5675912864	152.0	20.0	73.7142857143	34.5675912864	1032	24794
6.781136751174927	24	95.4545454545	46.6015287232	200.0	38.0	95.4545454545	46.6015287232	1050	25844
7.047785043716431	25	87.6666666667	37.0547642761	165.0	48.0	87.6666666667	37.0547642761	1052	26896
7.327390193939209	26	116.666666667	60.5860269919	200.0	34.0	116.666666667	60.5860269919	1050	27946
7.582986116409302	27	72.2142857143	45.1065066124	171.0	22.0	72.2142857143	45.1065066124	1011	28957
7.862591505050659	28	118.222222222	43.9817582837	182.0	33.0	118.222222222	43.9817582837	1064	30021
8.176045894622803	29	118.3	61.9436033824	200.0	38.0	118.3	61.9436033824	1183	31204
8.455150365829468	30	119.222222222	35.3577832946	179.0	62.0	119.222222222	35.3577832946	1073	32277
8.751761674880981	31	123.333333333	45.0061724162	198.0	56.0	123.333333333	45.0061724162	1110	33387
9.016073942184448	32	111.555555556	53.3835411821	200.0	29.0	111.555555556	53.3835411821	1004	34391
9.295496225357056	33	116.222222222	51.8733024414	172.0	31.0	116.222222222	51.8733024414	1046	35437
9.58612060546875	34	115.888888889	43.8316081902	200.0	35.0	115.888888889	43.8316081902	1043	36480
9.88782525062561	35	136.75	58.3925294879	200.0	38.0	136.75	58.3925294879	1094	37574
10.166928052902222	36	118.555555556	38.1083575293	191.0	46.0	118.555555556	38.1083575293	1067	38641
10.448033094406128	37	119.666666667	31.3723161756	178.0	70.0	119.666666667	31.3723161756	1077	39718
10.734641313552856	38	115.333333333	68.0261387671	200.0	30.0	115.333333333	68.0261387671	1038	40756
11.025212049484253	39	153.571428571	41.8188513296	200.0	87.0	153.571428571	41.8188513296	1075	41831
11.295637845993042	40	143.714285714	36.1848993197	200.0	102.0	143.714285714	36.1848993197	1006	42837
11.592249155044556	41	139.875	37.6876554723	200.0	92.0	139.875	37.6876554723	1119	43956
11.880859613418579	42	133.75	41.8352423203	200.0	75.0	133.75	41.8352423203	1070	45026
12.14883303642273	43	143.142857143	34.0773430027	200.0	76.0	143.142857143	34.0773430027	1002	46028
12.437641143798828	44	174.833333333	27.9309664868	200.0	126.0	174.833333333	27.9309664868	1049	47077
12.763785600662231	45	149.5	44.0227214061	200.0	64.0	149.5	44.0227214061	1196	48273
13.04309630393982	46	168.833333333	38.2379247461	200.0	100.0	168.833333333	38.2379247461	1013	49286
13.320734024047852	47	168.5	29.9318670762	200.0	136.0	168.5	29.9318670762	1011	50297
13.619725227355957	48	181.5	21.132518386	200.0	147.0	181.5	21.132518386	1089	51386
13.93034052848816	49	163.142857143	36.638888674	200.0	104.0	163.142857143	36.638888674	1142	52528
14.242709636688232	50	130.777777778	44.9240786161	200.0	43.0	130.777777778	44.9240786161	1177	53705
14.56135869026184	51	164.285714286	49.712643651	200.0	60.0	164.285714286	49.712643651	1150	54855
14.86165452003479	52	181.166666667	24.2653158965	200.0	141.0	181.166666667	24.2653158965	1087	55942
15.15975832939148	53	156.428571429	49.6123750198	200.0	46.0	156.428571429	49.6123750198	1095	57037
15.486080408096313	54	168.714285714	28.6541659186	200.0	116.0	168.714285714	28.6541659186	1181	58218
15.781691312789917	55	155.714285714	33.401087603	200.0	108.0	155.714285714	33.401087603	1090	59308
16.067940950393677	56	171.5	34.1259920491	200.0	119.0	171.5	34.1259920491	1029	60337
16.359610080718994	57	177.333333333	18.5801566792	200.0	149.0	177.333333333	18.5801566792	1064	61401
16.656588554382324	58	179.0	31.6122339187	200.0	113.0	179.0	31.6122339187	1074	62475
16.975293159484863	59	190.833333333	12.9925192151	200.0	171.0	190.833333333	12.9925192151	1145	63620
17.311177015304565	60	200.0	0.0	200.0	200.0	200.0	0.0	1200	64820
17.628795385360718	61	189.166666667	15.9208109788	200.0	160.0	189.166666667	15.9208109788	1135	65955
17.965922355651855	62	198.166666667	4.09945795875	200.0	189.0	198.166666667	4.09945795875	1189	67144
18.287251710891724	63	167.857142857	35.6227398137	200.0	98.0	167.857142857	35.6227398137	1175	68319
18.56743550300598	64	149.714285714	23.5111784095	200.0	118.0	149.714285714	23.5111784095	1048	69367
18.856044054031372	65	171.166666667	37.235362523	200.0	107.0	171.166666667	37.235362523	1027	70394
19.15215539932251	66	179.166666667	24.5113352463	200.0	134.0	179.166666667	24.5113352463	1075	71469
19.438498973846436	67	174.166666667	31.4293740879	200.0	117.0	174.166666667	31.4293740879	1045	72514
19.7537624835968	68	187.666666667	11.4552268516	200.0	167.0	187.666666667	11.4552268516	1126	73640
20.056251049041748	69	156.857142857	55.4679536088	200.0	49.0	156.857142857	55.4679536088	1098	74738
20.33535408973694	70	169.833333333	32.4366904737	200.0	116.0	169.833333333	32.4366904737	1019	75757
20.642658948898315	71	161.571428571	30.11813475	200.0	108.0	161.571428571	30.11813475	1131	76888
20.972283840179443	72	191.5	19.0065778087	200.0	149.0	191.5	19.0065778087	1149	78037
21.2768976688385	73	181.0	26.9258240357	200.0	140.0	181.0	26.9258240357	1086	79123
21.57185196876526	74	178.5	29.6409064189	200.0	130.0	178.5	29.6409064189	1071	80194
21.913493156433105	75	166.142857143	61.3384721302	200.0	19.0	166.142857143	61.3384721302	1163	81357
22.237114906311035	76	190.5	18.2916192103	200.0	150.0	190.5	18.2916192103	1143	82500
22.56523871421814	77	191.333333333	12.4721912892	200.0	170.0	191.333333333	12.4721912892	1148	83648
22.90154767036438	78	200.0	0.0	200.0	200.0	200.0	0.0	1200	84848
23.220569849014282	79	191.333333333	19.379255805	200.0	148.0	191.333333333	19.379255805	1148	85996
23.650169610977173	80	196.666666667	7.453559925	200.0	180.0	196.666666667	7.453559925	1180	87176
23.982794761657715	81	197.5	5.59016994375	200.0	185.0	197.5	5.59016994375	1185	88361
24.299569368362427	82	189.833333333	22.7333577712	200.0	139.0	189.833333333	22.7333577712	1139	89500
24.789437770843506	83	200.0	0.0	200.0	200.0	200.0	0.0	1200	90700
25.131566762924194	84	200.0	0.0	200.0	200.0	200.0	0.0	1200	91900
25.47333836555481	85	200.0	0.0	200.0	200.0	200.0	0.0	1200	93100
25.774951934814453	86	178.833333333	31.98133136	200.0	117.0	178.833333333	31.98133136	1073	94173
26.077065467834473	87	178.166666667	32.1476627801	200.0	119.0	178.166666667	32.1476627801	1069	95242
26.399688243865967	88	187.833333333	18.242959068	200.0	153.0	187.833333333	18.242959068	1127	96369
26.75646662712097	89	192.5	13.1624465811	200.0	164.0	192.5	13.1624465811	1155	97524
27.069799423217773	90	187.666666667	27.5781717225	200.0	126.0	187.666666667	27.5781717225	1126	98650
27.37291383743286	91	181.166666667	26.6734366406	200.0	141.0	181.166666667	26.6734366406	1087	99737
27.699544668197632	92	191.333333333	19.379255805	200.0	148.0	191.333333333	19.379255805	1148	100885
28.03618574142456	93	199.833333333	0.37267799625	200.0	199.0	199.833333333	0.37267799625	1199	102084
28.360694885253906	94	194.5	12.2983738762	200.0	167.0	194.5	12.2983738762	1167	103251
28.665809392929077	95	180.333333333	30.8202675019	200.0	118.0	180.333333333	30.8202675019	1082	104333
28.973546743392944	96	183.0	24.2143208316	200.0	144.0	183.0	24.2143208316	1098	105431
29.297696113586426	97	193.833333333	13.7890858612	200.0	163.0	193.833333333	13.7890858612	1163	106594
29.595916271209717	98	172.666666667	37.6371565817	200.0	117.0	172.666666667	37.6371565817	1036	107630
29.889026165008545	99	177.166666667	25.5891687156	200.0	134.0	177.166666667	25.5891687156	1063	108693
